Sequence	Position	P start	P occupied
SEQ1	0	0.00894	0.00894
SEQ1	1	0.00426	0.0132
SEQ1	2	0.00229	0.0154
SEQ1	3	0.00132	0.0168
SEQ1	4	0.00115	0.0179
SEQ1	5	0.00152	0.0194
SEQ1	6	0.00239	0.0218
SEQ1	7	0.00432	0.0261
SEQ1	8	0.00613	0.0323
SEQ1	9	0.00608	0.0384
SEQ1	10	0.00536	0.0437
SEQ1	11	0.00317	0.0469
SEQ1	12	0.00258	0.0495
SEQ1	13	0.00226	0.0517
SEQ1	14	0.00227	0.0540
SEQ1	15	0.00239	0.0564
SEQ1	16	0.00548	0.0619
SEQ1	17	0.0137	0.0756
SEQ1	18	0.0167	0.0923
SEQ1	19	0.0127	0.105
SEQ1	20	0.0064	0.111
SEQ1	21	0.00343	0.114
SEQ1	22	0.00165	0.116
SEQ1	23	0.00118	0.117
SEQ1	24	0.00158	0.119
SEQ1	25	0.00308	0.122
SEQ1	26	0.00565	0.127
SEQ1	27	0.0125	0.140
SEQ1	28	0.0286	0.169
SEQ1	29	0.0442	0.213
SEQ1	30	0.0357	0.248
SEQ1	31	0.0204	0.269
SEQ1	32	0.00867	0.278
SEQ1	33	0.0034	0.281
SEQ1	34	0.00186	0.283
SEQ1	35	0.00123	0.284
SEQ1	36	0.00125	0.285
SEQ1	37	0.00223	0.288
SEQ1	38	0.00376	0.291
SEQ1	39	0.0054	0.297
SEQ1	40	0.0038	0.300
SEQ1	41	0.00268	0.303
SEQ1	42	0.00143	0.305
SEQ1	43	0.000965	0.306
SEQ1	44	0.00107	0.307
SEQ1	45	0.00112	0.308
SEQ1	46	0.00134	0.309
SEQ1	47	0.00164	0.311
SEQ1	48	0.00205	0.313
SEQ1	49	0.00189	0.315
SEQ1	50	0.00187	0.317
SEQ1	51	0.00195	0.318
SEQ1	52	0.00177	0.320
SEQ1	53	0.00217	0.322
SEQ1	54	0.00183	0.324
SEQ1	55	0.00185	0.326
SEQ1	56	0.00216	0.328
SEQ1	57	0.00269	0.331
SEQ1	58	0.00265	0.334
SEQ1	59	0.00284	0.336
SEQ1	60	0.00287	0.339
SEQ1	61	0.0024	0.342
SEQ1	62	0.00146	0.343
SEQ1	63	0.00111	0.344
SEQ1	64	0.00101	0.345
SEQ1	65	0.00162	0.347
SEQ1	66	0.00255	0.349
SEQ1	67	0.00528	0.355
SEQ1	68	0.00664	0.361
SEQ1	69	0.00596	0.367
SEQ1	70	0.00385	0.371
SEQ1	71	0.00218	0.373
